time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-26 00:00:00+00:00,14,9,2,2
2026-02-27 00:00:00+00:00,19,10,2,2
2026-02-28 00:00:00+00:00,17,9,0,0
2026-03-01 00:00:00+00:00,7,6,0,0
2026-03-02 00:00:00+00:00,6,5,3,2
2026-03-03 00:00:00+00:00,10,5,38,3
2026-03-04 00:00:00+00:00,5,4,5,4
2026-03-05 00:00:00+00:00,10,5,4,3
2026-03-06 00:00:00+00:00,8,4,5,4
2026-03-07 00:00:00+00:00,9,4,1,1
2026-03-08 00:00:00+00:00,10,5,0,0
2026-03-09 00:00:00+00:00,15,6,1,1
2026-03-10 00:00:00+00:00,11,3,3,1
2026-03-11 00:00:00+00:00,8,5,3,2
